Record_ID,Date,Day_Name,City,Area_Type,Citizen_ID,Age_Group,Work_Mode,Temperature_C,Rainfall_mm,AQI,Traffic_Level,Average_Traffic_Speed_kmh,Primary_Transport,Public_Transport_Usage_Minutes,Electricity_Consumption_kWh,Water_Consumption_Liters,Internet_Usage_GB,Online_Food_Orders,Daily_Spending_INR,Hospital_Visits,Emergency_Complaints,Work_Hours,Outdoor_Activity_Hours,Happiness_Score,Service_Satisfaction,Weekend,Month,Year,Day,Month_Name,Quarter
REC000064,2023-10-22,Sunday,Kolkata,Residential,CIT427766,45-54,Hybrid,26.1,2.0,203.0,Medium,31.0,Bus,66,3.23,141,5.38,0,722.01,0,0,6.0,3.2,9.0,8.6,Yes,10,2023,22,October,4
REC000065,2025-11-20,Thursday,Bengaluru,Commercial,CIT589491,25-34,Hybrid,17.5,0.7,84.0,Medium,31.3,Metro,48,4.78,95,2.99,0,472.96,0,0,5.5,2.1,8.8,8.6,No,11,2025,20,November,4
REC000066,2025-10-29,Wednesday,Chennai,Residential,CIT572230,45-54,Hybrid,27.5,2.6,66.0,Low,42.5,Walking/Cycling,0,6.62,104,3.09,0,428.66,0,0,5.2,1.4,7.3,5.5,No,10,2025,29,October,4
REC000067,2024-10-14,Monday,Bengaluru,Residential,CIT270395,25-34,Other,20.8,0.6,54.0,High,20.6,Bus,101,6.46,194,6.56,1,1013.28,0,0,5.5,3.4,7.8,9.5,No,10,2024,14,October,4
REC000068,2025-02-17,Monday,Jaipur,Residential,CIT254954,45-54,Work From Home,22.9,0.0,166.0,Medium,24.4,Cab,0,9.04,79,5.74,2,1941.68,0,0,6.6,0.9,7.7,8.6,No,2,2025,17,February,1
REC000069,2025-12-27,Saturday,Bengaluru,Residential,CIT458955,35-44,Hybrid,16.5,0.4,69.0,Low,54.5,Bus,48,10.74,212,3.0,2,1789.53,0,0,6.1,3.4,9.6,7.6,Yes,12,2025,27,December,4
REC000070,2023-06-11,Sunday,Chennai,Residential,CIT463188,55+,Hybrid,41.8,11.0,103.0,Medium,26.3,Metro,94,19.11,145,4.48,2,1407.65,0,0,6.3,2.6,7.1,7.4,Yes,6,2023,11,June,2
REC000071,2025-09-01,Monday,Bengaluru,Residential,CIT600641,35-44,Hybrid,22.1,19.1,101.0,High,18.0,Private Vehicle,0,15.62,106,5.77,0,1808.54,0,0,9.0,0.5,7.2,9.6,No,9,2025,1,September,3
REC000072,2024-11-17,Sunday,Mumbai,Mixed Use,CIT398384,25-34,Other,20.8,1.1,127.0,Low,51.2,Bus,93,8.47,102,1.12,0,623.72,0,0,1.5,2.9,7.5,6.6,Yes,11,2024,17,November,4
REC000073,2024-01-14,Sunday,Pune,Commercial,CIT247442,25-34,Work From Home,22.8,0.9,80.0,Low,46.6,Cab,0,9.29,187,4.07,0,1619.12,0,0,8.7,4.2,8.1,8.3,Yes,1,2024,14,January,1
REC000074,2023-10-01,Sunday,Kolkata,Residential,CIT601410,18-24,Other,20.4,0.7,120.0,High,22.4,Private Vehicle,0,3.17,119,1.24,1,470.81,0,0,7.3,2.0,8.7,9.9,Yes,10,2023,1,October,4
REC000075,2025-12-01,Monday,Bengaluru,Residential,CIT563303,18-24,Work From Home,17.3,3.4,40.0,Low,37.6,Bus,76,5.32,120,3.64,0,951.9,0,0,6.9,3.1,8.7,8.3,No,12,2025,1,December,4
REC000076,2025-04-17,Thursday,Jaipur,Residential,CIT288724,45-54,Student,26.4,0.7,178.0,Medium,23.3,Walking/Cycling,0,7.43,161,3.0,1,2301.08,0,0,3.5,4.5,10.0,9.7,No,4,2025,17,April,2
REC000077,2024-04-15,Monday,Pune,Commercial,CIT359535,25-34,Work From Home,26.9,1.9,158.0,High,16.3,Private Vehicle,0,9.9,139,4.06,0,1080.76,0,0,8.8,3.9,8.2,7.6,No,4,2024,15,April,2
REC000078,2024-10-15,Tuesday,Chennai,Residential,CIT705526,35-44,Hybrid,28.3,0.4,177.0,Medium,26.4,Auto,0,3.37,83,1.94,0,563.22,0,0,6.4,0.9,7.0,6.2,No,10,2024,15,October,4
REC000079,2025-08-27,Wednesday,Chennai,Residential,CIT352673,45-54,Hybrid,34.0,5.0,82.0,Medium,28.7,Auto,0,9.14,167,3.39,0,1034.79,0,0,7.1,2.2,7.7,6.7,No,8,2025,27,August,3
REC000080,2024-11-12,Tuesday,Kolkata,Residential,CIT417915,55+,Office,25.7,0.4,165.0,Severe,13.1,Cab,0,14.09,132,1.78,0,665.49,0,0,9.6,3.0,7.1,8.0,No,11,2024,12,November,4
REC000081,2024-10-17,Thursday,Jaipur,Industrial,CIT312994,25-34,Student,29.7,2.0,166.0,Medium,31.3,Private Vehicle,0,8.94,173,4.14,0,1520.08,0,0,6.8,1.2,8.9,7.3,No,10,2024,17,October,4
REC000082,2025-09-27,Saturday,Hyderabad,Residential,CIT292988,55+,Other,28.3,37.1,95.0,Low,51.4,Metro,20,8.53,186,6.05,0,1062.83,0,0,0.5,1.6,6.7,4.9,Yes,9,2025,27,September,3
REC000083,2025-12-20,Saturday,Pune,Residential,CIT857273,25-34,Hybrid,24.5,1.7,84.0,Medium,23.7,Metro,34,10.81,196,4.46,0,473.81,0,0,6.6,0.0,6.4,6.6,Yes,12,2025,20,December,4
REC000084,2025-02-15,Saturday,Delhi,Residential,CIT495490,35-44,Office,27.5,1.5,173.0,Medium,27.3,Walking/Cycling,0,8.31,239,3.07,2,1491.88,0,0,9.3,4.5,8.8,10.0,Yes,2,2025,15,February,1
REC000085,2024-10-06,Sunday,Delhi,Residential,CIT116418,55+,Other,26.4,2.6,227.0,Medium,31.0,Cab,0,12.14,90,1.8,1,970.98,0,0,0.6,1.3,7.1,7.7,Yes,10,2024,6,October,4
REC000086,2024-10-30,Wednesday,Pune,Mixed Use,CIT131064,35-44,Student,23.3,1.0,27.0,High,19.9,Metro,81,15.12,166,0.63,0,1314.28,0,0,6.0,3.6,7.5,7.9,No,10,2024,30,October,4
REC000087,2023-06-28,Wednesday,Chennai,Residential,CIT296494,25-34,Other,33.1,0.2,92.0,Low,47.0,Bus,58,9.81,188,7.69,2,1917.63,0,1,4.6,2.7,8.9,9.4,No,6,2023,28,June,2
REC000088,2023-06-07,Wednesday,Pune,Residential,CIT478666,25-34,Work From Home,32.9,10.2,20.0,Low,35.1,Bus,104,10.62,79,6.66,0,50.0,0,0,8.4,2.7,7.8,9.1,No,6,2023,7,June,2
REC000089,2024-08-19,Monday,Pune,Mixed Use,CIT870571,35-44,Student,33.1,3.2,62.0,High,15.5,Walking/Cycling,0,13.78,291,5.33,0,1653.66,0,0,6.8,2.6,8.9,9.1,No,8,2024,19,August,3
REC000090,2024-05-10,Friday,Bengaluru,Commercial,CIT364955,35-44,Student,28.2,2.3,177.0,Medium,30.1,Walking/Cycling,0,13.61,124,1.34,1,398.05,0,0,5.6,3.9,9.9,10.0,No,5,2024,10,May,2
REC000091,2025-03-29,Saturday,Delhi,Commercial,CIT889245,25-34,Student,27.1,0.4,189.0,Medium,33.0,Bus,57,5.1,160,3.36,3,1323.31,0,0,4.2,2.6,8.2,9.0,Yes,3,2025,29,March,1
REC000092,2023-07-19,Wednesday,Jaipur,Residential,CIT559450,35-44,Student,28.0,3.1,125.0,High,19.7,Cab,0,14.7,211,8.98,0,990.41,0,0,6.8,2.7,7.4,8.4,No,7,2023,19,July,3
REC000093,2024-02-09,Friday,Delhi,Industrial,CIT571413,35-44,Student,25.1,0.5,179.0,Severe,9.8,Private Vehicle,0,6.71,135,4.14,1,1341.78,0,0,6.9,1.8,7.9,7.5,No,2,2024,9,February,1
REC000094,2023-06-23,Friday,Chennai,Mixed Use,CIT804758,18-24,Office,36.9,2.2,126.0,Medium,31.5,Cab,0,13.86,98,4.93,1,2149.79,0,0,7.7,0.9,7.4,8.0,No,6,2023,23,June,2
REC000095,2024-02-04,Sunday,Delhi,Commercial,CIT954815,25-34,Other,19.5,1.7,176.0,High,17.3,Metro,23,9.67,107,3.39,0,1488.01,0,0,5.9,2.3,6.4,6.8,Yes,2,2024,4,February,1
REC000096,2025-06-22,Sunday,Delhi,Industrial,CIT672892,25-34,Student,33.0,0.9,206.0,Severe,8.5,Bus,101,6.17,20,6.31,1,1177.73,0,0,4.4,4.2,7.9,6.5,Yes,6,2025,22,June,2
REC000097,2024-12-19,Thursday,Kolkata,Industrial,CIT658136,25-34,Other,26.1,0.5,229.0,Severe,9.1,Private Vehicle,0,10.14,122,3.8,0,314.45,0,0,5.6,1.8,7.4,7.1,No,12,2024,19,December,4
REC000098,2025-02-07,Friday,Chennai,Commercial,CIT573947,18-24,Office,29.0,0.8,103.0,Medium,29.8,Cab,0,4.88,204,0.81,0,1576.84,0,0,10.4,1.9,8.1,7.1,No,2,2025,7,February,1
REC000099,2024-11-22,Friday,Hyderabad,Mixed Use,CIT673896,35-44,Other,26.0,3.4,55.0,Low,47.5,Private Vehicle,0,16.37,155,5.07,3,2080.91,0,0,8.0,4.0,7.6,6.9,No,11,2024,22,November,4
REC000100,2023-12-05,Tuesday,Mumbai,Residential,CIT154302,25-34,Hybrid,28.8,1.9,113.0,Low,39.3,Metro,79,6.32,96,3.52,0,703.78,0,0,7.8,2.6,7.5,7.6,No,12,2023,5,December,4
REC000101,2023-10-08,Sunday,Hyderabad,Mixed Use,CIT501312,45-54,Work From Home,22.2,0.1,68.0,Medium,24.6,Bus,41,9.43,43,2.11,0,475.48,0,0,6.6,3.5,9.7,9.1,Yes,10,2023,8,October,4
REC000102,2024-08-06,Tuesday,Kolkata,Commercial,CIT916808,55+,Office,33.6,15.1,106.0,High,21.2,Bus,25,8.63,234,0.67,0,1314.67,0,0,9.1,2.5,9.9,9.5,No,8,2024,6,August,3
REC000103,2023-12-20,Wednesday,Pune,Residential,CIT899776,25-34,Office,20.1,0.5,80.0,Low,50.8,Auto,0,7.06,106,0.98,0,1259.89,0,0,9.5,2.0,8.7,8.0,No,12,2023,20,December,4
REC000104,2025-06-14,Saturday,Mumbai,Residential,CIT865416,55+,Work From Home,34.9,0.5,146.0,Medium,26.9,Private Vehicle,0,12.87,143,2.74,1,1006.67,0,0,8.1,1.6,8.4,6.8,Yes,6,2025,14,June,2
REC000105,2023-08-30,Wednesday,Chennai,Industrial,CIT908903,45-54,Hybrid,33.8,0.5,78.0,High,11.2,Auto,0,8.58,185,1.96,0,646.87,0,0,7.3,2.0,6.5,6.2,No,8,2023,30,August,3
REC000106,2024-01-02,Tuesday,Pune,Mixed Use,CIT999138,18-24,Student,19.8,0.4,80.0,High,18.6,Metro,87,16.17,175,4.28,0,1354.63,0,0,6.5,2.5,7.4,6.5,No,1,2024,2,January,1
REC000107,2024-09-14,Saturday,Chennai,Commercial,CIT875501,35-44,Student,24.6,48.9,100.0,Medium,30.7,Private Vehicle,0,13.57,229,6.39,1,1197.2,0,0,3.0,0.0,8.8,7.6,Yes,9,2024,14,September,3
REC000108,2023-05-03,Wednesday,Pune,Commercial,CIT249289,35-44,Office,33.6,0.1,87.0,Severe,8.6,Private Vehicle,0,16.52,98,2.59,1,551.64,0,0,9.6,3.1,8.0,8.6,No,5,2023,3,May,2
REC000109,2024-07-10,Wednesday,Hyderabad,Residential,CIT344959,18-24,Work From Home,36.6,0.9,153.0,Medium,27.0,Metro,55,12.23,96,0.1,0,1082.23,0,0,7.2,1.8,6.7,7.1,No,7,2024,10,July,3
REC000110,2024-09-04,Wednesday,Pune,Commercial,CIT372804,45-54,Work From Home,30.8,0.3,47.0,Low,44.2,Private Vehicle,0,11.64,149,4.05,1,1373.59,0,0,7.5,2.1,7.1,6.0,No,9,2024,4,September,3
REC000111,2024-02-09,Friday,Delhi,Mixed Use,CIT777366,25-34,Work From Home,27.9,2.5,213.0,Severe,4.5,Walking/Cycling,0,5.1,174,1.74,0,862.43,0,0,9.6,1.9,8.0,8.8,No,2,2024,9,February,1
REC000112,2024-07-26,Friday,Jaipur,Residential,CIT501620,18-24,Work From Home,35.5,8.2,145.0,Medium,22.3,Bus,91,9.25,67,4.27,0,430.34,0,0,6.1,1.5,7.5,7.4,No,7,2024,26,July,3
REC000113,2024-04-21,Sunday,Jaipur,Commercial,CIT267378,18-24,Work From Home,29.4,3.7,208.0,Medium,25.5,Private Vehicle,0,10.32,104,5.96,0,50.0,0,0,9.2,1.3,6.1,7.6,Yes,4,2024,21,April,2
