,Name,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review
13,"Lovely Room 1, Garden, Best Area, Legal rental",26802410424,verified,Darcy,brookln,South Slope,40.66829,-73.98779,United States,US,True,moderate,Private room,2010.0,$580 ,$116 ,4.0,167.0,6/24/2019
14,Wonderful Guest Bedroom in Manhattan for SINGLES,88920244552,verified,Leonardo,Manhattan,Upper West Side,40.79826,-73.96113,United States,US,False,flexible,Private room,2019.0,$149 ,$30 ,2.0,113.0,7/5/2019
15,West Village Nest - Superhost,46551725984,verified,Daniel,Manhattan,West Village,40.7353,-74.00525,United States,US,True,flexible,Entire home/apt,2018.0,$578 ,,90.0,27.0,10/31/2018
16,Only 2 stops to Manhattan studio,62566345680,unconfirmed,Heather,Brooklyn,Williamsburg,40.70837,-73.95352,United States,,,moderate,Entire home/apt,2009.0,$778 ,,2.0,148.0,6/29/2019
17,Perfect for Your Parents + Garden,80380130347,verified,Ryan,Brooklyn,Fort Greene,40.69169,-73.97185,United States,,,flexible,Entire home/apt,2006.0,$656 ,,2.0,198.0,6/28/2019
18,Chelsea Perfect,73862528370,verified,Alberta,manhatan,Chelsea,40.74192,-73.99501,United States,,,moderate,Private room,2008.0,$460 ,,1.0,260.0,7/1/2019
19,Hip Historic Brownstone Apartment with Backyard,72145018858,,Martin,Brooklyn,Crown Heights,40.67592,-73.94694,United States,,,moderate,Entire home/apt,2004.0,"$1,095 ",,3.0,53.0,6/22/2019
20,Huge 2 BR Upper East  Cental Park,79805143117,verified,Audrey,Manhattan,East Harlem,40.79685,-73.94872,United States,,,moderate,Entire home/apt,2013.0,$281 ,$56 ,7.0,0.0,
21,Sweet and Spacious Brooklyn Loft,86554611512,verified,Alissa,Brooklyn,Williamsburg,40.71842,-73.95718,United States,,,flexible,Entire home/apt,2016.0,$477 ,$95 ,3.0,9.0,12/28/2021
22,CBG CtyBGd HelpsHaiti rm#1:1-4,53754237010,verified,Mary,Brooklyn,Park Slope,40.68069,-73.97706,United States,,,moderate,Private room,2013.0,$133 ,$27 ,2.0,130.0,7/1/2019
23,CBG Helps Haiti Room#2.5,87668933180,,William,Brooklyn,Park Slope,40.67989,-73.97798,United States,,,moderate,Private room,2017.0,"$1,050 ",$210 ,1.0,39.0,1/1/2019
24,CBG Helps Haiti Rm #2,57827496420,unconfirmed,Charlotte,Brooklyn,Park Slope,40.68001,-73.97865,United States,,,strict,Private room,2005.0,$816 ,$163 ,2.0,71.0,7/2/2019
25,"MAISON DES SIRENES1,bohemian apartment",48387947293,,Miranda,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,United States,,,strict,Entire home/apt,2006.0,"$1,175 ",$235 ,2.0,88.0,6/19/2019
26,Sunny Bedroom Across Prospect Park,81686279636,,Carlos,Brooklyn,Windsor Terrace,40.65599,-73.97519,United States,,,moderate,Private room,2021.0,$530 ,$106 ,1.0,19.0,6/23/2019
27,Magnifique Suite au N de Manhattan - vue Cloitres,38811420224,verified,Adrianna,Manhattan,Inwood,40.86754,-73.92639,United States,,,strict,Private room,2017.0,$274 ,$55 ,4.0,0.0,
28,Midtown Pied-a-terre,19382804591,unconfirmed,Andrew,Manhattan,Hell's Kitchen,40.76715,-73.98533,United States,,,moderate,Entire home/apt,2016.0,$209 ,$42 ,10.0,58.0,8/13/2017
29,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",51449163855,verified,Daryl,Manhattan,Inwood,40.86482,-73.92106,United States,,,strict,Private room,2021.0,$432 ,$86 ,3.0,108.0,6/15/2019
30,Modern 1 BR / NYC / EAST VILLAGE,86424057349,unconfirmed,Tyler,Manhattan,East Village,40.7292,-73.98542,United States,,,flexible,Entire home/apt,2010.0,$666 ,$133 ,14.0,29.0,4/19/2019
31,front room/double bed,69410526955,unconfirmed,Byron,Manhattan,Harlem,40.82245,-73.95104,United States,,,flexible,Private room,2004.0,$770 ,$154 ,3.0,242.0,6/1/2019
32,Spacious 1 bedroom in luxe building,80369762211,verified,Mary,Manhattan,Harlem,40.81305,-73.95466,United States,,,flexible,Private room,2007.0,$512 ,$102 ,2.0,88.0,6/14/2019
33,Loft in Williamsburg Area w/ Roof,50968902783,unconfirmed,John,Brooklyn,Greenpoint,40.72219,-73.93762,United States,,,moderate,Private room,2007.0,$858 ,$172 ,4.0,197.0,6/15/2019
34,back room/bunk beds,25066620900,verified,Alfred,Manhattan,Harlem,40.8213,-73.95318,United States,,,strict,Private room,2021.0,$545 ,$109 ,3.0,273.0,7/1/2019
35,Large B&B Style rooms,57938703679,unconfirmed,Jared,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,United States,US,True,strict,Private room,2016.0,$191 ,$38 ,1.0,74.0,5/12/2019
36,"Lovely room 2 & garden; Best area, Legal rental",53343148512,verified,Brad,Brooklyn,South Slope,40.66869,-73.9878,United States,US,True,moderate,Private room,2003.0,"$1,111 ",$222 ,4.0,168.0,6/21/2019
37,Clean and Quiet in Brooklyn,26207748876,verified,Arthur,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,United States,US,False,moderate,Private room,2004.0,$203 ,$41 ,60.0,0.0,
38,Cute apt in artist's home,88653822946,verified,Joyce,Brooklyn,Bushwick,40.70186,-73.92745,United States,US,True,moderate,Entire home/apt,2005.0,"$1,097 ",$219 ,2.0,231.0,6/22/2019
39,Country space in the city,49725315867,verified,Deanna,Brooklyn,Flatbush,40.63702,-73.96327,United States,US,True,strict,Private room,2011.0,"$1,020 ",$204 ,1.0,0.0,
40,LowerEastSide apt share shortterm 1,31736204344,,Clark,Manhattan,Lower East Side,40.71401,-73.98917,United States,US,True,moderate,Shared room,2012.0,"$1,010 ",$202 ,1.0,214.0,7/5/2019
41,ENJOY Downtown NYC!,63131487263,unconfirmed,Byron,Manhattan,East Village,40.7229,-73.98199,United States,US,False,strict,Private room,2005.0,$563 ,$113 ,2.0,245.0,6/21/2019
42,Beautiful Sunny Park Slope Brooklyn,50357575975,verified,Alina,Brooklyn,South Slope,40.66278,-73.97966,United States,US,True,flexible,Entire home/apt,2020.0,$370 ,$74 ,3.0,15.0,5/27/2019
43,1bdr w private bath. in lofty apt,45597582469,,Charlie,Brooklyn,Fort Greene,40.69673,-73.97584,United States,US,False,strict,Private room,2008.0,$687 ,$137 ,7.0,25.0,9/30/2018
44,West Side Retreat,55430108992,unconfirmed,Alford,Manhattan,Upper West Side,40.79009,-73.97927,United States,US,False,strict,Private room,2017.0,$856 ,$171 ,4.0,81.0,6/16/2019
45,BEST BET IN HARLEM,2107606817,unconfirmed,Chester,Manhattan,Harlem,40.81175,-73.94478,United States,US,True,flexible,Entire home/apt,2006.0,$62 ,$12 ,7.0,97.0,6/13/2019
46,Entire apartment in central Brooklyn neighborhood.,41615406010,,David,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,United States,US,False,strict,Entire home/apt,2007.0,$435 ,$87 ,,11.0,6/5/2019
47,"1 Stop fr. Manhattan! Private Suite,Landmark Block",81253735818,unconfirmed,Victoria,Queens,Long Island City,40.74771,-73.9474,United States,US,True,flexible,Private room,2022.0,$916 ,$183 ,,248.0,7/1/2019
48,Charming Brownstone 3 - Near PRATT,42134614458,verified,Jared,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,United States,US,True,moderate,Entire home/apt,2019.0,$459 ,$92 ,,61.0,5/25/2019
49,bright and stylish duplex,53466382920,verified,Chloe,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,United States,US,False,moderate,Entire home/apt,2015.0,$363 ,$73 ,,11.0,1/1/2017
50,Fort Greene brownstone,49393946881,unconfirmed,Abraham,Brooklyn,Fort Greene,40.69142,-73.97376,United States,US,True,strict,Private room,2009.0,$212 ,$42 ,,135.0,6/17/2019
51,Blue Room for 2 in Brownstone for $1350 monthly,1529890895,unconfirmed,Sophia,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,United States,US,False,moderate,Private room,2015.0,$728 ,$146 ,,112.0,6/16/2019
52,Cozy 1BD on Central Park West in New York City,50562514538,unconfirmed,Madaline,Manhattan,Upper West Side,40.78635,-73.97008,United States,US,True,strict,Entire home/apt,2013.0,$901 ,$180 ,,73.0,7/7/2019
53,* ORIGINAL BROOKLYN LOFT *,49585766302,verified,Sawyer,Brooklyn,Williamsburg,40.7042,-73.9356,United States,US,False,flexible,Entire home/apt,2007.0,$335 ,$67 ,,82.0,5/17/2019
54,Greenpoint Place...Has It All!,52857769781,unconfirmed,Madaline,Brooklyn,Greenpoint,40.73506,-73.95392,United States,US,True,moderate,Entire home/apt,2014.0,$254 ,$51 ,,328.0,6/29/2019
55,Beautiful Apartment in Manhattan!!!,39829029279,verified,Richard,Manhattan,Kips Bay,40.73961,-73.98074,United States,US,True,moderate,Entire home/apt,2017.0,$903 ,$181 ,,19.0,3/25/2019
56,Williamsburg 1 bedroom Apartment,84933495312,unconfirmed,Paul,Brooklyn,Williamsburg,40.70881,-73.9593,United States,US,False,moderate,Entire home/apt,2012.0,$439 ,$88 ,30.0,105.0,6/22/2019
57,,18424415847,unconfirmed,Carina,Manhattan,Lower East Side,40.72004,-73.99104,United States,US,True,flexible,Private room,2009.0,"$1,024 ",$205 ,5.0,19.0,5/18/2019
58,,48877238684,,Sophia,Manhattan,Hell's Kitchen,40.75531,-73.99293,United States,US,True,strict,Private room,2006.0,$658 ,$132 ,2.0,289.0,6/9/2019
59,,71987706184,verified,Rosie,Brooklyn,Greenpoint,40.72401,-73.93788,United States,US,False,flexible,Private room,2020.0,$543 ,$109 ,4.0,138.0,6/4/2019
60,,85649449746,verified,Frederick,Manhattan,SoHo,40.7221,-73.99775,United States,US,True,strict,Entire home/apt,2019.0,$256 ,$51 ,30.0,21.0,6/29/2019
61,,22028915442,,Agata,Brooklyn,Williamsburg,40.71185,-73.96204,United States,US,False,moderate,Private room,2012.0,$294 ,$59 ,2.0,42.0,6/30/2019
62,,51930287368,unconfirmed,George,Manhattan,Chelsea,40.74623,-73.9953,United States,US,True,moderate,Entire home/apt,2004.0,$779 ,$156 ,180.0,5.0,11/3/2018
63,,85658272266,unconfirmed,Kelsey,Manhattan,Upper East Side,40.77065,-73.95269,United States,US,False,strict,Entire home/apt,2020.0,$653 ,$131 ,2.0,66.0,3/30/2019
64,,91715353208,,Sabrina,Brooklyn,Prospect Heights,40.67811,-73.96428,United States,US,True,flexible,Entire home/apt,2012.0,$303 ,$61 ,30.0,143.0,1/26/2019
65,Double Room w Private Deck Clinton Hill Best Area,71078326464,unconfirmed,William,Brooklyn,Clinton Hill,40.69,-73.96788,United States,US,False,flexible,Private room,2010.0,$825 ,$165 ,7.0,27.0,9/30/2017
66,Your Heaven in Hells Kitchen,20543275700,verified,Melissa,Manhattan,Hell's Kitchen,40.75979,-73.99119,United States,US,False,strict,Private room,2013.0,$646 ,$129 ,30.0,191.0,
67,Light-filled 2B duplex in the heart of Park Slope!,42969787263,verified,Ellia,Brooklyn,Park Slope,40.67343,-73.98338,United States,US,False,flexible,Entire home/apt,2006.0,"$1,037 ",$207 ,3.0,4.0,9/24/2017
68,"Sunny, Modern room in East Village!",79667908130,unconfirmed,Walter,Manhattan,East Village,40.72649,-73.97904,United States,US,False,strict,Private room,2015.0,$87 ,$17 ,1.0,338.0,7/1/2019
69,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,19095545297,unconfirmed,Sawyer,Brooklyn,Williamsburg,40.70933,-73.96792,United States,US,True,moderate,Entire home/apt,2007.0,$316 ,$63 ,1.0,148.0,6/23/2019
70,Large Room in Amazing East Village Apt,58710475260,unconfirmed,Valeria,Manhattan,East Village,40.72298,-73.98474,United States,US,True,flexible,Private room,2017.0,$735 ,$147 ,1.0,106.0,6/21/2019
71,SpaHa Loft: Enormous and Bright,27952493551,,Adelaide,Manhattan,East Harlem,40.80164,-73.93922,United States,US,False,flexible,Entire home/apt,2017.0,$524 ,$105 ,4.0,190.0,6/23/2019
72,Lovely EV Artist's Home,90314634438,unconfirmed,Reid,Manhattan,East Village,40.72162,-73.98008,United States,US,False,moderate,Entire home/apt,2019.0,$238 ,$48 ,9.0,49.0,5/14/2018
73,Cool Room in Hell's Kitchen,44843744875,verified,Charlie,Manhattan,Hell's Kitchen,40.76342,-73.98865,United States,US,False,moderate,Private room,2017.0,$603 ,$121 ,7.0,23.0,6/1/2019
74,"HARLEM, NEW YORK WELCOMES YOU!!",98195975718,,Violet,,Washington Heights,40.83139,-73.94095,United States,US,True,moderate,Private room,2011.0,$571 ,$114 ,2.0,49.0,6/18/2019
75,BLUE TRIM GUEST HOUSE,4726877402,unconfirmed,Audrey,,Clinton Hill,40.68346,-73.96374,United States,US,True,strict,Private room,2014.0,$398 ,$80 ,2.0,105.0,6/26/2019
76,Charming East Village One Bedroom Flat,74322993447,verified,Violet,,East Village,40.72828,-73.98801,United States,US,False,strict,Entire home/apt,2018.0,$618 ,$124 ,5.0,21.0,1/2/2019
77,Manhattan Room,11468499446,verified,Sofia,,Upper East Side,40.76865,-73.95058,United States,US,False,strict,Private room,2007.0,$116 ,$23 ,1.0,142.0,7/6/2019
78,Little King of Queens,68599531533,unconfirmed,Melanie,,Woodside,40.75038,-73.90334,United States,US,True,flexible,Private room,2012.0,$54 ,$11 ,30.0,25.0,
79,Fort Greene Retreat on the Park,43811392937,,Lenny,Brooklyn,Fort Greene,40.6932,-73.97267,United States,US,True,flexible,Private room,2013.0,$744 ,$149 ,3.0,143.0,6/16/2019
80,Beautiful Meatpacking District Loft,6644226026,unconfirmed,Eddy,Manhattan,Chelsea,40.74138,-74.00197,United States,US,True,strict,Private room,2011.0,"$1,065 ",$213 ,3.0,167.0,5/28/2019
81,,73077753757,verified,Arthur,Brooklyn,Williamsburg,40.71154,-73.96112,United States,US,False,moderate,Private room,2017.0,"$1,057 ",$211 ,3.0,61.0,4/22/2019
82,Spacious luminous apt Upper West NYC,97798221815,verified,Alisa,Manhattan,Harlem,40.82915,-73.95136,United States,US,True,flexible,Entire home/apt,2005.0,"$1,056 ",$211 ,31.0,54.0,3/23/2019
83,Entire 2 Bedroom - Large & Sunny,54627928830,verified,Edgar,Manhattan,Lower East Side,40.71851,-73.98892,United States,US,False,moderate,Entire home/apt,2017.0,$909 ,$182 ,5.0,70.0,
84,"Sunny, Spacious Top Floor Haven",88585125323,verified,Justin,Brooklyn,Flatbush,40.65401,-73.96323,United States,US,True,moderate,Entire home/apt,2017.0,$586 ,$117 ,6.0,16.0,6/15/2019
85,Private room Great Deal at Lower East Side,15834881958,unconfirmed,Violet,Manhattan,Lower East Side,40.7114,-73.98794,United States,US,True,strict,Private room,2013.0,$575 ,$115 ,30.0,94.0,4/8/2019
86,perfect for a family or small group,34333762709,unconfirmed,Sienna,Brooklyn,Brooklyn Heights,40.69723,-73.99268,United States,US,False,strict,Entire home/apt,2013.0,$292 ,$58 ,1.0,25.0,8/4/2016
87,2 bedroom Williamsburg Apt - Bedford L stop,76203104999,verified,Lucy,Brooklyn,Williamsburg,40.71833,-73.95748,United States,US,True,strict,Entire home/apt,2007.0,$194 ,$39 ,3.0,61.0,8/9/2018
88,Oh glorious spring!,7693754055,unconfirmed,Ellia,Manhattan,East Village,40.72334,-73.9844,United States,US,False,flexible,Private room,2022.0,$123 ,$25 ,3.0,194.0,6/30/2019
89,Great Location for NYC,65444463877,,Emma,Manhattan,East Village,40.72912,-73.98057,United States,US,False,strict,Private room,2004.0,"$1,079 ",$216 ,1.0,2.0,2/14/2016
90,Cozy Bedroom in Williamsburg 3 BR,14067827221,unconfirmed,Lilianna,,Williamsburg,40.71156,-73.96218,United States,US,False,moderate,Private room,2015.0,$266 ,$53 ,3.0,174.0,6/22/2019
91,Sunny room+Pvte office in huge loft,12884105458,,Albert,,Bushwick,40.70032,-73.9383,United States,US,False,moderate,Private room,2012.0,$728 ,$146 ,4.0,24.0,
92,Spacious Prospect Heights Apartment,63218812094,unconfirmed,Sarah,,Prospect Heights,40.68233,-73.97261,United States,US,False,flexible,Entire home/apt,2021.0,$583 ,$117 ,4.0,166.0,6/27/2019
93,"Large Parlor Room, Landmark Home 1 block to PRATT",89635238032,unconfirmed,Rubie,Brooklyn,Clinton Hill,40.68634,-73.966,United States,US,True,moderate,Private room,2012.0,$51 ,$10 ,7.0,16.0,5/31/2019
94,2-bed brownstone duplex + garden,40398018895,unconfirmed,Alfred,Brooklyn,Prospect Heights,40.68035,-73.97162,United States,US,False,moderate,Entire home/apt,2018.0,$588 ,$118 ,7.0,21.0,5/21/2019
95,Charming 1 bed GR8 WBurg LOCATION!,85349309260,,Chester,Brooklyn,Williamsburg,40.70984,-73.95775,United States,US,False,moderate,Entire home/apt,2010.0,$360 ,$72 ,5.0,168.0,7/22/2018
96,,43086080920,verified,Joyce,Brooklyn,Bushwick,40.70093,-73.92609,United States,US,True,strict,Entire home/apt,2011.0,$380 ,$76 ,,118.0,6/18/2019
97,,8644470108,verified,Sydney,Manhattan,Upper West Side,40.79764,-73.96177,United States,US,True,strict,Entire home/apt,2017.0,$343 ,$69 ,,,7/7/2019
98,,2531706698,,Victoria,Manhattan,Harlem,40.82803,-73.94731,United States,,,flexible,Private room,2021.0,$160 ,$32 ,,1.0,10/9/2018
99,,31493374340,verified,,Manhattan,Chelsea,40.74008,-74.00271,United States,,,moderate,Private room,2022.0,$528 ,$106 ,,30.0,5/1/2019
100,,47504416702,unconfirmed,,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,United States,,,moderate,Entire home/apt,2009.0,$739 ,$148 ,,139.0,10/28/2018
101,loft bed - near transportation-15min to times sq,71312861184,unconfirmed,Edgar,Manhattan,Harlem,40.82279,-73.95139,United States,,,flexible,Private room,2013.0,$913 ,$183 ,,11.0,
102,House On Henry (3rd FLR Suite),66356095263,unconfirmed,Albert,Brooklyn,Carroll Gardens,40.67967,-74.00154,United States,,,flexible,Entire home/apt,2006.0,$507 ,$101 ,,233.0,6/24/2019
103,Monkey Retreat Manhattan,62028601494,verified,Kelsey,Manhattan,Washington Heights,40.83927,-73.94281,United States,,,strict,Private room,2007.0,$306 ,$61 ,,68.0,1/2/2022
104,2000 SF 3br 2bath West Village private  townhouse,90570445423,verified,Adelaide,Manhattan,West Village,40.73096,-74.00319,United States,,,strict,Entire home/apt,2012.0,"$1,078 ",$216 ,,46.0,5/18/2019
105,"Williamsburg—Steps To Subway, Private Bath&Balcony",14752755860,verified,April,Brooklyn,Williamsburg,40.71332,-73.94177,United States,,,moderate,Private room,2004.0,$887 ,$177 ,,335.0,5/29/2019
106,Beautiful Duplex Apartment,74182934364,verified,Lilianna,Brooklyn,Park Slope,40.66941,-73.98109,United States,,,moderate,Entire home/apt,2008.0,$243 ,$49 ,30.0,88.0,11/2/2018
107,Large 2 Bedroom Great for Groups!,94662871331,unconfirmed,Tess,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,United States,,,flexible,Entire home/apt,2016.0,$500 ,$100 ,90.0,162.0,6/28/2019
108,"Modern Brooklyn Apt., August sublet",38981444696,unconfirmed,Ned,Brooklyn,Williamsburg,40.71459,-73.94844,United States,US,False,strict,Entire home/apt,2017.0,$589 ,$118 ,30.0,29.0,5/26/2018
109,"1,800 sq foot in luxury building",18044628997,unconfirmed,Emma,Manhattan,Harlem,40.8092,-73.94421,United States,US,True,flexible,Private room,2005.0,$839 ,$168 ,2.0,170.0,6/23/2019
110,Sunny 2-story Brooklyn townhouse w deck and garden,85201462079,verified,Alen,Brooklyn,Gowanus,40.68157,-73.98989,United States,US,False,strict,Entire home/apt,2011.0,$528 ,$106 ,30.0,19.0,3/17/2017
111,"Times Square, Safe, Clean and Cozy!",61210263217,unconfirmed,Kevin,Manhattan,Hell's Kitchen,40.75527,-73.99291,United States,US,True,strict,Private room,2014.0,$66 ,$13 ,2.0,334.0,6/16/2019
112,"Cozy Room #3, Landmark Home 1 Block to PRATT",85719117699,unconfirmed,Miller,Brooklyn,Clinton Hill,40.68698,-73.96572,United States,US,True,flexible,Private room,2014.0,$761 ,$152 ,2.0,19.0,6/2/2019
113,Beautiful Apartment East Village,95420528585,verified,Penelope,Manhattan,East Village,40.7288,-73.98192,United States,US,True,flexible,Entire home/apt,2007.0,$523 ,$105 ,7.0,12.0,
114,Park Slope Green Guest House,56820832918,,Rosie,Brooklyn,South Slope,40.66853,-73.98912,United States,US,True,strict,Entire home/apt,2004.0,$631 ,$126 ,30.0,467.0,12/30/2018
115,2 BR / 2 Bath Duplex Apt with patio! East Village,63842204720,,Olivia,Manhattan,East Village,40.7254,-73.98157,United States,US,False,flexible,Entire home/apt,2008.0,$677 ,$135 ,2.0,7.0,8/9/2017
116,NYC fabulous views Manhattan's eye,14374368872,,Paige,Manhattan,Kips Bay,40.74294,-73.98009,United States,US,True,flexible,Entire home/apt,2008.0,$574 ,$115 ,5.0,38.0,12/2/2015
117,2 story family home in Williamsburg,40328778117,,Agata,Brooklyn,Williamsburg,40.71942,-73.95748,United States,US,True,flexible,Entire home/apt,2003.0,$232 ,$46 ,3.0,324.0,6/23/2019
118,,87894881413,,David,Manhattan,Upper West Side,40.77823,-73.97637,United States,US,False,strict,Entire home/apt,,"$1,154 ",$231 ,6.0,27.0,4/27/2019
119,Great Large 1 BR apt  in East Village!,27506185339,,Adelaide,Manhattan,East Village,40.72555,-73.97965,United States,US,False,strict,Entire home/apt,,$737 ,$147 ,1.0,115.0,6/7/2019
120,Eveland Private Bed & Living Room w/ Own Entrance,25474679480,,Fenton,Brooklyn,South Slope,40.66831,-73.98604,United States,US,True,moderate,Private room,,$456 ,$91 ,2.0,354.0,5/20/2019
121,Sugar Hill Rest Stop,81078988196,,Madaline,Manhattan,Harlem,40.82754,-73.94919,United States,US,True,moderate,Entire home/apt,2005.0,$291 ,$58 ,2.0,195.0,7/1/2019
122,3 Story Town House in Park Slope,9853816495,,Darcy,Brooklyn,South Slope,40.66499,-73.97925,United States,US,True,strict,Entire home/apt,2021.0,$996 ,$199 ,2.0,16.0,12/30/2018
123,apartment next to Central park,65890112273,,Aida,Manhattan,Upper West Side,40.77842,-73.97556,United States,US,True,flexible,Entire home/apt,2008.0,$788 ,$158 ,7.0,13.0,6/26/2019
124,East Village Sanctuary,21125900343,unconfirmed,Jasmine,Manhattan,East Village,40.72245,-73.98527,United States,US,True,flexible,Entire home/apt,2013.0,"$1,105 ",$221 ,4.0,25.0,12/10/2021
125,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,63113999922,verified,Robert,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,United States,US,True,moderate,Private room,2015.0,"$1,109 ",$222 ,2.0,9.0,10/5/2018
126,Modern Apt with Spectacular Views,96956465387,verified,Lucas,Brooklyn,Williamsburg,40.71923,-73.96468,United States,US,True,strict,Private room,2004.0,$659 ,$132 ,1.0,9.0,9/18/2021
127,Garden studio in the Upper East Sid,77172555024,unconfirmed,Miller,Manhattan,Upper East Side,40.778,-73.94822,United States,US,False,strict,Entire home/apt,2007.0,$571 ,$114 ,5.0,21.0,8/15/2024
128,Secluded Master Bedroom in Beautiful Huge Apt,44493053522,verified,Dexter,Manhattan,Washington Heights,40.85879,-73.93128,United States,US,True,flexible,Private room,2010.0,$736 ,$147 ,15.0,36.0,8/17/2017
129,B & B Room 1,46312284523,verified,Darcy,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,United States,US,True,moderate,Private room,2013.0,$946 ,$189 ,3.0,63.0,5/14/2019
130,ACCOMMODATIONS GALORE #1,90525781448,unconfirmed,Daniel,Manhattan,Harlem,40.81618,-73.94894,United States,US,True,flexible,Entire home/apt,2005.0,$449 ,$90 ,3.0,155.0,6/20/2019
131,Sunny Room in New Condo,35058485479,verified,Victoria,Brooklyn,Clinton Hill,40.68414,-73.96351,United States,US,False,moderate,Private room,2018.0,$930 ,$186 ,3.0,260.0,7/3/2019
132,Stylish & Sleek Apartment Near SoHo!,24559680874,verified,Brooke,Manhattan,East Village,40.72392,-73.99143,United States,US,False,strict,Entire home/apt,2006.0,$329 ,$66 ,5.0,73.0,6/25/2019
133,NYC artists’ loft with roof deck,48867545848,verified,Lilianna,Brooklyn,Greenpoint,40.73494,-73.9503,United States,US,False,flexible,Private room,2006.0,"$1,125 ",$225 ,3.0,193.0,5/20/2019
134,Unique & Charming small 1br Apt. LES,77518406270,unconfirmed,,Manhattan,Lower East Side,40.71341,-73.98856,United States,US,False,moderate,Entire home/apt,2013.0,"$1,099 ",$220 ,3.0,32.0,6/14/2019
135,Most Central Location!,53246473793,unconfirmed,,Manhattan,Hell's Kitchen,40.76754,-73.98399,United States,US,False,strict,Private room,2013.0,$256 ,$51 ,2.0,50.0,5/26/2019
136,,80835835733,unconfirmed,,Manhattan,West Village,40.73442,-74.00303,United States,US,False,strict,Entire home/apt,2013.0,$263 ,$53 ,29.0,26.0,7/1/2019
